epoch,acc,iou,loss,lr,precision_3,recall_3,val_acc,val_iou,val_loss,val_precision_3,val_recall_3
90,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-21,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
91,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-21,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
92,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-22,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
93,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-22,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
94,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-22,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
95,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-22,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
96,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-23,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
97,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-23,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
98,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-23,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
99,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-23,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
